Koordinatensystem : Lambert konform konisch
Rechtswert        : 4021500 Meter
Hochwert          : 2690500 Meter
Hoehenlage        : 213 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4021500 2690500  1  1  1  -1.1  998  91  1.1 8  3.3  93    0    0 262 -285  3
4021500 2690500  1  1  2  -1.3  998  60  0.9 7  3.3  93    0    0 260 -286  3
4021500 2690500  1  1  3  -1.5  997  68  0.8 7  3.2  92    0    0 251 -288  3
4021500 2690500  1  1  4  -1.7  997  71  0.8 7  3.1  92    0    0 252 -289  3
4021500 2690500  1  1  5  -1.9  996  72  0.8 7  3.1  91    0    0 261 -289  3
4021500 2690500  1  1  6  -2.2  995  82  0.9 7  3.0  91    0    0 261 -289  3
4021500 2690500  1  1  7  -2.1  995  52  0.8 6  3.0  90    0    0 252 -288  3
4021500 2690500  1  1  8  -2.4  994  61  1.4 7  2.9  90    0    0 253 -288  3
4021500 2690500  1  1  9  -2.3  994  84  1.7 8  2.9  89    0    2 263 -290  3
4021500 2690500  1  1 10  -2.2  994  89  2.0 8  2.9  89    0   33 268 -293  3
4021500 2690500  1  1 11  -1.6  993  84  2.0 7  3.0  89   15   85 265 -297  3
4021500 2690500  1  1 12  -1.0  992  90  2.5 6  3.0  85   26  112 257 -301  3
4021500 2690500  1  1 13  -0.6  991  87  2.6 6  2.9  80   45  121 253 -306  3
4021500 2690500  1  1 14  -0.7  990  91  3.0 6  2.9  78   24  106 254 -309  3
4021500 2690500  1  1 15  -0.9  989  87  2.8 8  2.8  77    5   68 265 -310  3
4021500 2690500  1  1 16  -1.4  988  94  2.4 8  2.8  79    1   27 278 -309  3
4021500 2690500  1  1 17  -1.5  988  95  3.4 8  2.8  80    0    0 279 -307  3
4021500 2690500  1  1 18  -2.0  988  84  3.1 8  2.7  80    0    0 280 -304  3
4021500 2690500  1  1 19  -2.8  988  79  3.0 8  2.8  86    0    0 280 -304  3
4021500 2690500  1  1 20  -2.4  988  80  3.4 8  2.8  86    0    0 281 -305  3
