Koordinatensystem : Lambert konform konisch
Rechtswert        : 4021500 Meter
Hochwert          : 2690500 Meter
Hoehenlage        : 213 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4021500 2690500  1  1  1   5.3  975 205  4.2 7  4.9  85    0    0 303 -326  0
4021500 2690500  1  1  2   4.2  975 207  3.9 7  4.7  88    0    0 300 -326  0
4021500 2690500  1  1  3   3.4  975 209  3.6 7  4.5  89    0    0 290 -326  0
4021500 2690500  1  1  4   3.2  975 212  3.4 7  4.5  90    0    0 301 -326  0
4021500 2690500  1  1  5   3.2  975 213  3.3 7  4.5  90    0    0 310 -325  0
4021500 2690500  1  1  6   2.9  976 224  3.2 7  4.5  90    0    0 301 -324  0
4021500 2690500  1  1  7   2.8  976 214  3.5 8  4.5  92    0    0 308 -322  0
4021500 2690500  1  1  8   2.8  977 220  2.6 8  4.5  93    0    0 317 -321  0
4021500 2690500  1  1  9   2.7  977 222  2.8 7  4.5  93    0    0 307 -321  0
4021500 2690500  1  1 10   3.0  978 221  2.6 7  4.4  92    1   49 299 -321  0
4021500 2690500  1  1 11   3.5  979 212  2.8 7  4.4  89    0   62 300 -321  0
4021500 2690500  1  1 12   3.7  979 207  2.7 8  4.4  87    0   54 309 -324  0
4021500 2690500  1  1 13   4.2  980 210  2.5 7  4.4  84    0   80 309 -329  0
4021500 2690500  1  1 14   4.4  980 208  2.6 7  4.4  82    0   82 303 -332  0
4021500 2690500  1  1 15   4.2  980 207  2.9 4  4.3  81    5   67 281 -332  0
4021500 2690500  1  1 16   3.7  980 216  2.1 7  4.3  83    0   15 280 -328  0
4021500 2690500  1  1 17   3.1  981 162  1.6 7  4.3  86    0    0 300 -324  0
4021500 2690500  1  1 18   3.0  982 211  1.1 8  4.3  88    0    0 306 -323  0
4021500 2690500  1  1 19   2.8  982 172  1.6 8  4.3  89    0    0 312 -323  0
4021500 2690500  1  1 20   2.1  983 246  0.7 8  4.2  90    0    0 311 -323  0
4021500 2690500  1  1 21   2.3  984 264  0.8 7  4.2  91    0    0 303 -323  0
4021500 2690500  1  1 22   2.0  984 339  1.1 6  4.2  91    0    0 288 -322  0
4021500 2690500  1  1 23   1.8  985 225  1.1 7  4.1  92    0    0 287 -321  0
4021500 2690500  1  1 24   1.5  986 342  0.2 6  4.1  93    0    0 287 -321  0
4021500 2690500  1  2  1   1.7  987 335  0.9 6  4.0  92    0    0 277 -321  0
4021500 2690500  1  2  2   0.0  987 286  0.9 2  3.8  92    0    0 239 -321  0
4021500 2690500  1  2  3   0.3  987 343  0.7 7  3.7  94    0    0 240 -320  0
4021500 2690500  1  2  4  -1.0  988 317  1.2 3  3.7  97    0    0 243 -320  0
4021500 2690500  1  2  5  -0.2  988 348  0.9 5  3.6  97    0    0 223 -319  0
4021500 2690500  1  2  6  -0.1  989 289  1.1 7  3.7  96    0    0 265 -320  0
4021500 2690500  1  2  7  -0.2  990 355  1.2 8  3.7  97    0    0 293 -320  0
4021500 2690500  1  2  8  -0.7  990  43  1.2 8  3.7  98    0    0 301 -321  0
4021500 2690500  1  2  9  -0.6  991 350  1.3 7  3.7  99    0    0 291 -321  0
4021500 2690500  1  2 10  -0.8  992 342  1.0 4  3.7  99   45   52 255 -321  0
4021500 2690500  1  2 11   0.2  992 346  1.4 4  3.8 100   49   94 236 -321  0
4021500 2690500  1  2 12   0.5  993 325  1.5 6  3.9  99   26  119 259 -321  0
4021500 2690500  1  2 13   1.8  993 348  1.7 6  4.0  95    6  112 277 -323  0
4021500 2690500  1  2 14   2.5  994 351  1.7 6  4.0  89    0   75 281 -325  0
4021500 2690500  1  2 15   2.3  995 329  2.0 7  3.9  85    0   30 288 -325  0
4021500 2690500  1  2 16   1.9  994 304  1.7 7  3.9  88    0   10 294 -324  0
4021500 2690500  1  2 17   1.6  995 306  1.1 8  4.0  90    0    0 301 -323  0
4021500 2690500  1  2 18   1.5  996 295  0.9 8  3.9  91    0    0 307 -322  0
4021500 2690500  1  2 19   1.2  996 309  1.4 8  3.9  92    0    0 306 -322  0
4021500 2690500  1  2 20   1.3  996 310  1.6 8  4.0  94    0    0 305 -322  0
4021500 2690500  1  2 21   1.5  997 335  1.0 8  4.0  95    0    0 307 -322  0
4021500 2690500  1  2 22   1.3  997 334  1.0 8  4.1  95    0    0 307 -322  0
4021500 2690500  1  2 23   1.5  997 283  1.7 8  4.1  96    0    0 307 -322  0
4021500 2690500  1  2 24   1.6  998 305  1.7 6  4.2  97    0    0 295 -322  0
4021500 2690500  1  3  1   1.6  998 325  1.5 8  4.2  97    0    0 295 -321  0
4021500 2690500  1  3  2   1.5  999 323  1.4 8  4.2  97    0    0 307 -321  0
4021500 2690500  1  3  3   1.4  999 323  1.2 8  4.1  97    0    0 305 -321  0
4021500 2690500  1  3  4   1.4  999 320  1.3 8  4.1  96    0    0 304 -321  0
4021500 2690500  1  3  5   1.3  999 321  1.0 8  4.0  95    0    0 303 -321  0
4021500 2690500  1  3  6   1.2 1000 330  0.2 7  4.0  96    0    0 297 -321  0
4021500 2690500  1  3  7   1.1 1000 315  0.8 8  4.0  96    0    0 296 -321  0
4021500 2690500  1  3  8   1.1 1000 333  1.0 8  4.0  96    0    0 302 -321  0
4021500 2690500  1  3  9   0.7 1001 333  0.6 8  3.9  95    0    0 300 -321  0
4021500 2690500  1  3 10   0.7 1001 333  1.1 6  3.8  94    0   41 287 -321  0
4021500 2690500  1  3 11   0.6 1002 313  0.8 7  3.7  93    0   47 279 -321  0
4021500 2690500  1  3 12   0.6 1003 297  0.8 7  3.7  92    0   59 285 -321  0
4021500 2690500  1  3 13   0.7 1002 305  0.7 7  3.7  91    0   84 285 -322  0
4021500 2690500  1  3 14   0.9 1002 312  0.9 8  3.7  90    0   56 291 -322  0
4021500 2690500  1  3 15   0.6 1002 329  1.3 8  3.7  91    0   36 297 -323  0
4021500 2690500  1  3 16   0.6 1003 321  1.3 7  3.7  92    0   13 292 -323  0
4021500 2690500  1  3 17   0.4 1003 340  1.3 8  3.6  90    0    0 292 -322  0
