Koordinatensystem : Lambert konform konisch
Rechtswert        : 4021500 Meter
Hochwert          : 2690500 Meter
Hoehenlage        : 213 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4021500 2690500  1  1  1  -2.4  968  87  4.6 6  3.2  96    0    0 253 -307  0
4021500 2690500  1  1  2  -2.8  968  87  4.4 6  3.2  97    0    0 250 -307  0
4021500 2690500  1  1  3  -3.1  968  75  4.7 6  3.1  97    0    0 252 -306  0
4021500 2690500  1  1  4  -3.2  968  84  4.5 6  3.1  98    0    0 252 -305  0
4021500 2690500  1  1  5  -3.3  968  65  4.9 6  3.1  99    0    0 254 -305  0
4021500 2690500  1  1  6  -3.5  968  69  4.7 7  3.0  97    0    0 262 -304  0
4021500 2690500  1  1  7  -3.4  968  74  4.4 8  2.9  95    0    0 278 -304  0
4021500 2690500  1  1  8  -3.3  969  74  4.9 8  2.9  94    0    0 286 -303  0
4021500 2690500  1  1  9  -3.2  969  74  4.7 6  2.9  93    0    8 270 -303  0
4021500 2690500  1  1 10  -3.1  969  73  4.5 6  2.9  93    2   42 257 -302  0
4021500 2690500  1  1 11  -3.0  970  75  4.7 7  2.9  93    0   49 263 -303  0
4021500 2690500  1  1 12  -2.9  970  81  5.5 7  3.0  93    0   83 271 -304  0
4021500 2690500  1  1 13  -2.6  970  77  4.2 8  2.9  91    0   68 280 -305  0
4021500 2690500  1  1 14  -2.7  970  66  4.0 8  2.9  90    0   58 289 -306  0
4021500 2690500  1  1 15  -2.8  971  75  4.0 8  2.9  90    0   43 289 -306  0
4021500 2690500  1  1 16  -3.0  972  47  3.2 8  2.9  92    0   17 288 -305  0
4021500 2690500  1  1 17  -2.9  972  74  2.2 7  3.0  93    0    0 280 -303  0
4021500 2690500  1  1 18  -3.0  973  57  2.7 7  3.0  93    0    0 272 -302  0
4021500 2690500  1  1 19  -3.0  974  37  2.5 8  2.9  93    0    0 280 -302  0
4021500 2690500  1  1 20  -3.2  974  27  3.2 8  2.9  93    0    0 287 -302  0
4021500 2690500  1  1 21  -3.1  975  23  3.2 8  2.9  93    0    0 285 -302  0
4021500 2690500  1  1 22  -3.2  975   0  1.7 8  2.9  93    0    0 283 -301  0
4021500 2690500  1  1 23  -3.1  976 358  1.5 8  2.9  94    0    0 281 -301  0
4021500 2690500  1  1 24  -3.2  977 340  2.0 8  2.9  94    0    0 280 -301  0
4021500 2690500  1  2  1  -3.1  978 316  2.1 8  2.9  94    0    0 279 -300  0
4021500 2690500  1  2  2  -3.1  978 337  1.5 7  2.9  94    0    0 271 -300  0
4021500 2690500  1  2  3  -3.3  979 338  2.0 7  2.9  95    0    0 263 -300  0
4021500 2690500  1  2  4  -3.0  980 329  2.0 7  3.0  95    0    0 263 -300  0
4021500 2690500  1  2  5  -2.9  981 283  2.2 8  3.0  95    0    0 268 -299  0
4021500 2690500  1  2  6  -2.7  981 302  2.5 8  3.0  93    0    0 275 -299  0
4021500 2690500  1  2  7  -2.9  982 325  3.0 8  2.9  92    0    0 274 -298  0
4021500 2690500  1  2  8  -3.1  984 325  3.3 8  2.9  93    0    0 272 -296  0
4021500 2690500  1  2  9  -3.2  985 285  2.7 7  2.8  92    0   10 265 -296  0
4021500 2690500  1  2 10  -3.2  986 293  2.5 7  2.8  91   20   30 257 -298  0
4021500 2690500  1  2 11  -3.2  987 291  3.2 8  2.7  89    0   46 262 -300  0
4021500 2690500  1  2 12  -3.4  988 290  2.9 8  2.6  86    0   67 267 -301  0
4021500 2690500  1  2 13  -3.6  989 302  2.8 8  2.5  83   16   85 266 -301  0
4021500 2690500  1  2 14  -3.5  990 283  2.4 8  2.5  83    0   65 266 -301  0
4021500 2690500  1  2 15  -3.7  990 261  2.8 8  2.5  84   12   56 265 -301  0
4021500 2690500  1  2 16  -4.3  991 262  2.0 6  2.4  82    0   24 252 -299  0
4021500 2690500  1  2 17  -5.3  992 260  1.0 6  2.3  84    0    0 239 -297  0
4021500 2690500  1  2 18  -4.8  992 247  2.2 7  2.3  87    0    0 241 -296  0
4021500 2690500  1  2 19  -4.6  993 247  2.6 8  2.4  86    0    0 249 -294  0
4021500 2690500  1  2 20  -3.8  993 225  3.3 8  2.4  85    0    0 253 -292  0
4021500 2690500  1  2 21  -3.8  993 213  3.3 6  2.6  88    0    0 246 -289  0
4021500 2690500  1  2 22  -3.2  993 221  3.4 5  2.7  90    0    0 234 -286  0
4021500 2690500  1  2 23  -2.9  993 217  4.3 6  2.7  89    0    0 234 -283  0
4021500 2690500  1  2 24  -2.6  993 219  4.2 8  2.8  89    0    0 246 -282  0
4021500 2690500  1  3  1  -2.4  993 221  4.2 8  2.9  89    0    0 252 -282  0
4021500 2690500  1  3  2  -2.4  993 228  3.0 7  2.9  89    0    0 247 -281  0
4021500 2690500  1  3  3  -2.3  992 227  2.2 6  2.9  89    0    0 239 -282  0
4021500 2690500  1  3  4  -2.3  992 217  3.3 7  2.9  89    0    0 239 -282  0
4021500 2690500  1  3  5  -2.1  992 232  4.5 7  3.0  90    0    0 243 -282  0
4021500 2690500  1  3  6  -2.3  991 235  4.3 7  3.0  90    0    0 243 -283  0
4021500 2690500  1  3  7  -2.1  991 249  4.2 7  2.9  89    0    0 244 -286  0
4021500 2690500  1  3  8  -2.2  991 224  4.0 7  3.0  90    0    0 245 -290  0
4021500 2690500  1  3  9  -2.1  991 225  3.8 7  3.0  92    0    5 246 -292  0
4021500 2690500  1  3 10  -1.9  991 216  3.6 7  3.1  92    2   40 246 -294  0
4021500 2690500  1  3 11  -1.7  991 190  1.8 6  3.2  95   13   81 243 -298  0
4021500 2690500  1  3 12  -1.1  991 220  1.0 7  3.3  96    0   55 246 -300  0
4021500 2690500  1  3 13  -1.7  990   1  1.6 8  3.3  96    0   53 256 -301  0
4021500 2690500  1  3 14  -1.6  990 252  1.7 8  3.3  96    0   53 260 -301  0
4021500 2690500  1  3 15  -1.6  990 264  2.5 8  3.3  95    0   46 261 -303  0
4021500 2690500  1  3 16  -1.9  991 290  2.9 7  3.3  95    0   10 255 -304  0
4021500 2690500  1  3 17  -3.3  991 309  3.4 8  3.0  95    0    0 253 -304  0
4021500 2690500  1  3 18  -4.2  992 310  3.2 8  2.7  93    0    0 253 -302  0
4021500 2690500  1  3 19  -4.4  992 311  2.2 7  2.6  93    0    0 246 -300  0
4021500 2690500  1  3 20  -4.6  993 311  1.9 8  2.6  93    0    0 244 -299  0
4021500 2690500  1  3 21  -4.7  993 320  1.5 7  2.6  93    0    0 244 -299  0
4021500 2690500  1  3 22  -4.6  994 329  1.1 7  2.6  93    0    0 240 -299  0
4021500 2690500  1  3 23  -4.7  994  42  1.5 7  2.6  93    0    0 240 -300  0
4021500 2690500  1  3 24  -4.9  994  55  2.3 7  2.5  93    0    0 240 -300  0
4021500 2690500  1  4  1  -4.9  994  40  1.5 7  2.5  92    0    0 239 -299  0
4021500 2690500  1  4  2  -5.0  994  37  1.1 8  2.5  92    0    0 243 -299  0
4021500 2690500  1  4  3  -5.1  994  68  1.0 8  2.5  93    0    0 246 -299  0
4021500 2690500  1  4  4  -5.3  994 110  1.5 8  2.4  93    0    0 244 -297  0
4021500 2690500  1  4  5  -5.2  993  59  1.4 7  2.4  93    0    0 240 -291  0
4021500 2690500  1  4  6  -5.4  993 105  1.4 6  2.4  93    0    0 231 -286  0
4021500 2690500  1  4  7  -5.4  993 104  1.1 7  2.4  93    0    0 231 -283  0
4021500 2690500  1  4  8  -5.4  993  69  1.2 7  2.4  92    0    0 233 -278  0
4021500 2690500  1  4  9  -5.5  992  32  1.4 7  2.4  92    0    9 232 -269  0
4021500 2690500  1  4 10  -5.5  992 113  1.7 8  2.4  93    4   51 235 -263  0
4021500 2690500  1  4 11  -5.2  992  60  0.8 7  2.4  93    1   69 237 -262  0
4021500 2690500  1  4 12  -5.0  992  28  0.7 7  2.4  91    0   75 234 -262  0
4021500 2690500  1  4 13  -4.4  991 325  0.9 8  2.4  88    0   79 241 -263  0
4021500 2690500  1  4 14  -4.7  990 292  1.2 8  2.4  87    0   65 248 -264  0
4021500 2690500  1  4 15  -4.9  990 277  1.8 8  2.3  86    0   53 248 -264  0
4021500 2690500  1  4 16  -5.0  989 264  1.6 8  2.3  85    0   20 247 -263  0
4021500 2690500  1  4 17  -5.1  989 273  1.8 8  2.2  83    0    0 245 -262  0
4021500 2690500  1  4 18  -6.2  989 257  1.5 8  2.1  84    0    0 244 -261  0
